source	target	pvalue	threshold
CANNONBALL II/SAM GUTHRIE 	WOLFSBANE/RAHNE SINCLAIR	5.999327508733223e-199	4.186910139297549e-08
IRON MAN/TONY STARK 	VISION 	2.4285403335170595e-198	4.234488663607748e-08
SIF	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	4.281825157405868e-198	4.2820671879179477e-08
DAREDEVIL/MATT MURDOCK	PAGE, KAREN	7.054023560274674e-197	4.329645712228147e-08
BALDER [ASGARDIAN]	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	2.600119957440348e-196	4.3772242365383465e-08
VISION 	WASP/JANET VAN DYNE PYM	6.158382793597526e-195	4.424802760848546e-08
DUGAN, TIMOTHY ALOYISIOUS DUM DUM	FURY, COL. NICHOLAS NICK JOSEPH	2.454849242388254e-194	4.4723812851587454e-08
QUICKSILVER/PIETRO MAXIMOFF	SCARLET WITCH/WANDA MAXIMOFF	3.157500821286878e-194	4.519959809468945e-08
GEE/ALEX POWER	LIGHTSPEED/JULIE POWER	8.560807141242271e-194	4.567538333779144e-08
COUNTERWEIGHT/JACK POWER	GEE/ALEX POWER	8.560807141242271e-194	4.6151168580893436e-08
HAVOK/ALEX SUMMERS 	POLARIS/LORNA DANE	5.642332131989549e-193	4.662695382399543e-08
HOGUN [ASGARDIAN]	SIF	8.696189675969428e-192	4.7102739067097425e-08
CAPTAIN BRITAIN/BRIAN BRADDOCK	MEGGAN	2.19363849457301e-190	4.757852431019942e-08
PSYLOCKE/ELISABETH BETSY BRADDOCK 	ROGUE /	2.6165097633196677e-190	4.8054309553301413e-08
COUNTERWEIGHT II/KATIE POWER	GEE/ALEX POWER	3.115996725257536e-190	4.853009479640341e-08
FANDRAL [ASGARDIAN]	SIF	1.4730926670959384e-189	4.90058800395054e-08
HAWK	VISION 	4.887601746081261e-189	4.9481665282607396e-08
JAMESON, J. JONAH	LEEDS, BETTY BRANT	4.512951510643919e-188	4.995745052570939e-08
BOOMER/TABITHA SMITH	THUNDERBIRD II/JAMES PROUDSTAR	3.1767763061333895e-187	5.0433235768811385e-08
MARVEL GIRL/JEAN GREY SUMMERS	PROFESSOR X/CHARLES FRANCIS XAVIER 	1.2380490242194223e-186	5.090902101191338e-08
SUNSPOT/ROBERTO DACOSTA 	WOLFSBANE/RAHNE SINCLAIR	4.0143999501558335e-186	5.138480625501537e-08
