source	target	pvalue	threshold
BOERKE, MAYOR	STATIC	7.170470625234922e-08	9.225000078504566e-06
CALDRONE, JAVIER	HARDY, STAN	7.170470625234922e-08	9.225475863747667e-06
BARBAROSSA, MARIO	GERASI, JOEY	7.170470625234922e-08	9.22595164899077e-06
ANTEUS	DELGADO, RUFUS	7.170470625234922e-08	9.226427434233872e-06
HIRO	TOSHI	7.170470625234922e-08	9.226903219476973e-06
BARON MACABRE/	LORD KARNAJ	7.170470625234922e-08	9.227379004720074e-06
ANTEUS	ELYSIA	7.170470625234922e-08	9.227854789963179e-06
JOHNSMEYER, JAMES	POLESTAR/	7.170470625234922e-08	9.22833057520628e-06
HAMMERHAND	JAVELIN/DARIN	7.170470625234922e-08	9.22880636044938e-06
DARK MASTER	PULSAR II/LAN	7.170470625234922e-08	9.229282145692483e-06
GENUARDI, MR.	RAMIREZ, MARTA	7.170470625234922e-08	9.229757930935586e-06
PATCHWORK/KYLE BARKER	PINKERTON, RUDY	7.170470625234922e-08	9.230233716178687e-06
CONTONI, PAUL	FALCONER, CALVIN	7.170470625234922e-08	9.23070950142179e-06
MOORE, TONI	PURL, DR. NOAH	7.170470625234922e-08	9.231185286664892e-06
MOON KNIGHT DOPPELGANGER	QUICKSILVER DOPPELGANGER	7.170470625234922e-08	9.231661071907993e-06
HARDCASE/HAROLD HARRY MALONE	LONGBOW/AMELIA GREER	7.170470625234922e-08	9.232136857151094e-06
SASQUATCH DOPPELGANGER II	STORM DOPPELGANGER II	7.170470625234922e-08	9.232612642394198e-06
ADAM 3,031	MELONIE	7.170470625234922e-08	9.2330884276373e-06
HARRIS, CHRISTINE	SENNET, PAMELA	7.170470625234922e-08	9.2335642128804e-06
CONTEMPLATOR/TATH KI [ELDER]	STRANGER	7.172794814820308e-08	9.234039998123503e-06
EGO	ZCANN	7.187293678521719e-08	9.234515783366606e-06
EGO	MOWAT, FARLEY	7.187293678521719e-08	9.234991568609707e-06
AYALA, MRS.	SUN, LIN	7.187293678521719e-08	9.23546735385281e-06
KRUEL/VICTOR KRUELLER	O'BREEN, GLORIANNA	7.187293678521719e-08	9.235943139095912e-06
CAPTAIN AMERICA	KLIGGER/SEN. EUGENE KLIGGER STIVAK	7.232844684448379e-08	9.236418924339013e-06
CAPTAIN AMERICA	MOONSTONE/LLOYD BLOCH	7.232844684448379e-08	9.236894709582116e-06
CAPTAIN AMERICA	FREEMAN, DUANE JEROME	7.232844684448379e-08	9.237370494825217e-06
PRINCESS PYTHON/ZELDA	SNAPDRAGON/SHEOKE SANADA	7.242929536602124e-08	9.23784628006832e-06
PAGAN	TRIATHLON/DELROY GARRETT JR.	7.242929536602124e-08	9.238322065311422e-06
CARTER, PEGGY	MORGAN	7.26252028723418e-08	9.238797850554523e-06
AGINAR	IKARIS/IKE HARRIS [ETERNAL]	7.271638842405806e-08	9.239273635797625e-06
IKARIS/IKE HARRIS [ETERNAL]	ZARIN	7.271638842405806e-08	9.239749421040728e-06
CATAPHRAX	THENA	7.271638842405806e-08	9.240225206283829e-06
IKARIS/IKE HARRIS [ETERNAL]	SIGMAR	7.271638842405806e-08	9.24070099152693e-06
DROMEDAN	IKARIS/IKE HARRIS [ETERNAL]	7.271638842405806e-08	9.241176776770034e-06
CATAPHRAX	IKARIS/IKE HARRIS [ETERNAL]	7.271638842405806e-08	9.241652562013135e-06
HAWK	SMUGGLER II/CONRAD JOSTEN	7.284136486666552e-08	9.242128347256236e-06
HAWK	METEORITE III/VALERIE BARNHARDT	7.284136486666552e-08	9.242604132499339e-06
GOSAMYR	WIZ KID/TAKESHI MATSUYA	7.290680526791107e-08	9.243079917742442e-06
SATANNISH	TATTERDEMALION/	7.290680526791107e-08	9.243555702985543e-06
MASTER PANDEMONIUM/MARTIN PRESTON	RAYMOND, ANN	7.290680526791107e-08	9.244031488228645e-06
AGAMOTTO	SATANNISH	7.290680526791107e-08	9.244507273471748e-06
TOMBSTONE/LONNIE THOMPSON LINCOLN	URICH, BEN	7.294111808786609e-08	9.244983058714849e-06
LONGSHOT	N'ASTIRH	7.294352169952324e-08	9.24545884395795e-06
BEYONDER	KARMA/XI'AN COY MANH	7.333551949098293e-08	9.245934629201054e-06
BANNON, LANCE	LUBENSKI, NATE	7.341567072104526e-08	9.246410414444155e-06
DE LA SPIROSA, COUNTESS STEPHANIE	TITANIUM MAN/BORIS BULLSKI	7.349744990969627e-08	9.246886199687256e-06
HIGGINS, SAMUEL	WITCHFIRE	7.349744990969627e-08	9.247361984930359e-06
CHALMERS, JUDGE ROBERT C. HARRISON	MESMERO	7.349744990969627e-08	9.247837770173462e-06
HAMMER IV/	OMEGA RED/ARKADY ROSSOVICH	7.349744990969627e-08	9.248313555416563e-06
CHALMERS, JUDGE ROBERT C. HARRISON	LIVING MONOLITH/AHMET ABDOL	7.349744990969627e-08	9.248789340659665e-06
EPOCH	STARFOX/EROS	7.378013518584565e-08	9.249265125902768e-06
ICEMAN/ROBERT BOBBY DRAKE	KELLY, SEN. ROBERT EDWARD	7.379300166324095e-08	9.249740911145869e-06
BOOMER/TABITHA SMITH	WIPEOUT	7.386548851134445e-08	9.250216696388971e-06
CYCLOPS/SCOTT SUMMERS 	SUNSPOT/ROBERTO DACOSTA 	7.39858759311426e-08	9.250692481632072e-06
MERLIN	STUART, DR. ALISTAIRE	7.401085003263995e-08	9.251168266875175e-06
BARON BLOOD/JOHN FALSWORTH	TORO/TOM RAYMOND	7.408684572173966e-08	9.251644052118278e-06
BROMWELL, DR.	DR. OCTOPUS/OTTO OCTAVIUS	7.408690264595644e-08	9.252119837361379e-06
SIMON, ALEX FLORES	SPIDER-WOMAN II/JULIA CARPENTER	7.408690264595644e-08	9.252595622604481e-06
MAGNETO/MAGNUS/ERIC LENSHERR	SUNSPYRE/LEYU YOSHIDA	7.420528252331722e-08	9.253071407847584e-06
KAMAL	MAGNETO/MAGNUS/ERIC LENSHERR	7.420528252331722e-08	9.253547193090685e-06
MAGNETO/MAGNUS/ERIC LENSHERR	PROVENZANO, PAULIE	7.420528252331722e-08	9.254022978333786e-06
MAGNETO/MAGNUS/ERIC LENSHERR	WRAITH II/HECTOR RENDOZA	7.420528252331722e-08	9.254498763576889e-06
HULK/DR. ROBERT BRUCE BANNER 	SHANZAR	7.421900854510932e-08	9.254974548819991e-06
HULK/DR. ROBERT BRUCE BANNER 	OGRESS/	7.421900854510932e-08	9.255450334063092e-06
HULK/DR. ROBERT BRUCE BANNER 	SPAR, DR. KATHERINE ELISABETH	7.421900854510932e-08	9.255926119306195e-06
DR. DOOM/VICTOR VON DOOM	KLAW/ULYSSES KLAW	7.454410135467565e-08	9.256401904549298e-06
MOLE MAN/HARVEY RUPERT ELDER	RICHARDS, FRANKLIN BENJAMIN	7.454410135467565e-08	9.256877689792399e-06
FALCON/SAM WILSON	STAPLES, EDNA M. GRANNY	7.469219200663065e-08	9.2573534750355e-06
CABER	HEIMDALL [ASGARDIAN]	7.505636517928095e-08	9.257829260278604e-06
GREY, JEAN | MUTANT X-VERSE	MAGNETO | MUTANT X-VERSE	7.51807823696046e-08	9.258305045521705e-06
ANALYZER	EXECUTIONER II/SKURGE [ASGARDIAN]	7.519577923770721e-08	9.258780830764806e-06
ELSIE DEE	SABRETOOTH/VICTOR CREED	7.533237863281848e-08	9.259256616007909e-06
ALBERT	SABRETOOTH/VICTOR CREED	7.533237863281848e-08	9.259732401251011e-06
EBONY	SWORDSMAN/JACQUES DUCQUESNE	7.544693102989219e-08	9.260208186494112e-06
BOVA	CRYSTAL [INHUMAN]	7.552257479409221e-08	9.260683971737215e-06
NOVA/RICHARD RIDER	ROGUE /	7.552939087374703e-08	9.261159756980317e-06
DEMOLITION MAN/DENNIS DUNPHY	MAGDALENE/MARISSA DARROW	7.555971174315113e-08	9.261635542223418e-06
BLIND AL/ALTHEA	TYPHOID MARY/MARY MEZINIS/MARY WALKER/LYLA	7.555971174315113e-08	9.262111327466521e-06
GHOST RIDER III/DAN KETCH	MEPHISTO	7.570343752524895e-08	9.262587112709624e-06
CUT	GEE/ALEX POWER	7.599007194109397e-08	9.263062897952725e-06
GRANT, GLORIA GLORY	LOBO, CARLOS	7.599007194109397e-08	9.263538683195827e-06
BLACK KNIGHT V/DANE WHITMAN	MASTER/ESHU	7.601087307226535e-08	9.264014468438928e-06
DRAGON MAN	TITANIA II/MARY SKEETER MACPHERRAN	7.604696040510063e-08	9.264490253682031e-06
LEEDS, NED	STACY, GWEN (CLONE)	7.61568204940023e-08	9.264966038925134e-06
ELECTRO/MAX DILLON	ROBERTSON, JOE	7.657991712826301e-08	9.265441824168235e-06
DEADPOOL/JACK/WADE WILSON 	SUMMERS, NATHAN CHRISTOPHER CHARLES	7.682143546834896e-08	9.265917609411337e-06
BLACK GOLIATH/DR. WILLIAM BILL BARRETT FOSTER	CLAYBORNE, REGINA	7.683241041032548e-08	9.266393394654438e-06
ATOM-SMASHER/	BLACK GOLIATH/DR. WILLIAM BILL BARRETT FOSTER	7.683241041032548e-08	9.266869179897541e-06
PROWLER III/RICK LAWSON	VULTURE/ADRIAN TOOMES	7.683241041032548e-08	9.267344965140642e-06
IRON MAN IV/JAMES R. JIM RHODEY RHODES	SPYMASTER/JAKE JORDAN	7.69453096458553e-08	9.267820750383745e-06
CHENEY, LILA	PROFESSOR X/CHARLES FRANCIS XAVIER 	7.710854420571607e-08	9.268296535626847e-06
MCLAREN, MEGAN	SCARLET WITCH/WANDA MAXIMOFF	7.720950043634047e-08	9.268772320869948e-06
FIXER II/PAUL NORBERT EBERSOL	PILEDRIVER II/BRIAN PHILIP CALUSKY	7.725115845311875e-08	9.269248106113051e-06
BULLDOZER/HENRY CAMP	FIXER II/PAUL NORBERT EBERSOL	7.725115845311875e-08	9.269723891356154e-06
DR. DOOM CLONE/VICTOR VON DOOM II	DR. DOOM/VICTOR VON DOOM	7.745929855671566e-08	9.270199676599255e-06
BUSHKIN, BARNEY	HOPKINS, STEVE	7.748560994362089e-08	9.270675461842355e-06
MADAME MASQUE III	PHARAOH RAMA-TUT	7.785538227782265e-08	9.27115124708546e-06
COLOSSUS II/PETER RASPUTIN 	NORTHSTAR/JEAN-PAUL BAUBIER	7.794538413019205e-08	9.27162703232856e-06
DEATHBIRD [SHI'AR]	TILBY, TRISH/PATRICIA TILBERT	7.811907374469085e-08	9.272102817571662e-06
BANSHEE/SEAN CASSIDY	PROTEUS II	7.813518554787028e-08	9.272578602814764e-06
PIP/PRINCE GOFERN	PSYLOCKE/ELISABETH BETSY BRADDOCK 	7.815681124135453e-08	9.273054388057867e-06
KING BEDLAM/CHRISTOPHER AARONSON	SUNSPOT/ROBERTO DACOSTA 	7.846492497145695e-08	9.273530173300968e-06
DEMON BEAR	SUNSPOT/ROBERTO DACOSTA 	7.846492497145695e-08	9.27400595854407e-06
ALEGRIA, RICHIE	SUNSPOT/ROBERTO DACOSTA 	7.846492497145695e-08	9.274481743787173e-06
MAGIK/ILLYANA RASPUTINA	SUMMERS, MADELYNE MADDIE JENNIFER PRYOR	7.859146000907508e-08	9.274957529030274e-06
DARKHAWK/CHRIS POWELL	SWORDSMAN III/PHILIP JARVERT	7.873952927054698e-08	9.275433314273377e-06
CHARM	SERGEI	7.888560688442061e-08	9.27590909951648e-06
JASON	JONES, JANIS	7.888560688442061e-08	9.27638488475958e-06
COLLINS, DEMITRIUS	TARAKIS	7.888560688442061e-08	9.276860670002683e-06
SERGEI	TRUTH	7.888560688442061e-08	9.277336455245784e-06
BEAUTY	SERGEI	7.888560688442061e-08	9.277812240488887e-06
CAPTAIN AMERICA V/ROSCOE	MORGAN	7.888560688442061e-08	9.278288025731988e-06
MASTERS, DR. AUGUST	NIGHTHAWK/KYLE RICHMOND	7.888560688442061e-08	9.27876381097509e-06
CONDOR	JAYE-FIRESTONE, GINGER	7.888560688442061e-08	9.279239596218193e-06
AUTHIER, POLICE CHIEF	EMPLATE/MARIUS ST. CROIX	7.888560688442061e-08	9.279715381461294e-06
BLACK TALON II/SAMUEL DAVID BARONE	NEKRA/ADRIENNE HATROS	7.888560688442061e-08	9.280191166704397e-06
GREEN GOBLIN/NORMAN OSBORN JR.	WILKS, SHANTAL	7.889734299781464e-08	9.280666951947498e-06
MADAME HYDRA VI	SITWELL, JASPER	7.889734299781464e-08	9.2811427371906e-06
KNICK KNACK	MAD DOG/COLONEL BUZZ BAXTER	7.90091864970475e-08	9.281618522433703e-06
TAGAK	WHITE TIGER/HECTOR AYALA	7.90091864970475e-08	9.282094307676804e-06
MAD DOG/COLONEL BUZZ BAXTER	TENPIN/ALVIN HEALEY	7.90091864970475e-08	9.282570092919907e-06
MAD DOG/COLONEL BUZZ BAXTER	RINGLEADER	7.90091864970475e-08	9.28304587816301e-06
BALLANTINE, KAYLA	STYGIAN STARBENDER	7.90091864970475e-08	9.28352166340611e-06
BULLET BIKER	MAD DOG/COLONEL BUZZ BAXTER	7.90091864970475e-08	9.283997448649211e-06
MOLECULE MAN/OWEN REECE	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	7.906703681636162e-08	9.284473233892316e-06
HELLCAT/PATSY WALKER BAXTER HELLSTROM	VISION 	7.91989974121183e-08	9.284949019135417e-06
HOGAN, VIRGINIA PEPPER POTTS	O'BRIEN, MICHAEL	7.926956375303942e-08	9.285424804378518e-06
ANALYZER	STELLARIS/LEAH PRINCESS	7.982651358287897e-08	9.28590058962162e-06
HOBBS, HARRIS	KINCAID, DR. JANE FOSTER	7.984968455055196e-08	9.286376374864723e-06
MASTER ORDER	MEPHISTO	7.994764561140529e-08	9.286852160107824e-06
PARETSKY, DR. GARY	STONE, LT. MARCUS	8.062406796606088e-08	9.287327945350927e-06
GAUNTLET	ICEMAN/ROBERT BOBBY DRAKE	8.070539159596346e-08	9.28780373059403e-06
EPOCH	FIRELORD/PYREUS KRIL [XANTAREAN]	8.0781942772492e-08	9.28827951583713e-06
SHARD	WITNESS II/REMY LEBEAU	8.084766492989414e-08	9.288755301080233e-06
NECROM	THOMAS, COMMANDER DAI	8.084766492989414e-08	9.289231086323336e-06
CY-PHYRR 4	PSYCHO-MAN	8.084766492989414e-08	9.289706871566437e-06
ELECTRO/MAX DILLON	REINHOLDT	8.110087765534359e-08	9.290182656809538e-06
GORNKAI	MAXIMUS [INHUMAN]	8.110087765534359e-08	9.29065844205264e-06
MAXIMUS [INHUMAN]	OMEGA	8.110087765534359e-08	9.291134227295743e-06
MAXIMUS [INHUMAN]	MENDICUS	8.110087765534359e-08	9.291610012538844e-06
STACY, JILL	STRONG, SUSAN	8.110087765534359e-08	9.292085797781946e-06
MISS MASS/	TALISMAN II/ELIZABETH TWOYOUNGMEN	8.110087765534359e-08	9.29256158302505e-06
MAXIMUS [INHUMAN]	TOI/REXEL TOIVEN	8.110087765534359e-08	9.29303736826815e-06
SINEW/	TALISMAN II/ELIZABETH TWOYOUNGMEN	8.110087765534359e-08	9.293513153511253e-06
STACY, JILL	ZANE, DONOVAN	8.110087765534359e-08	9.293988938754354e-06
TALISMAN II/ELIZABETH TWOYOUNGMEN	TECH-NOIR/	8.110087765534359e-08	9.294464723997456e-06
CENTARIUS	MAXIMUS [INHUMAN]	8.110087765534359e-08	9.294940509240559e-06
BILE/	TALISMAN II/ELIZABETH TWOYOUNGMEN	8.110087765534359e-08	9.29541629448366e-06
ELECTRO/MAX DILLON	HARGROVE, ELIAS	8.110087765534359e-08	9.295892079726763e-06
FIREFIST/RUSTY COLLINS	MILAN	8.110087765534359e-08	9.296367864969865e-06
STRONGARM/	TALISMAN II/ELIZABETH TWOYOUNGMEN	8.110087765534359e-08	9.296843650212966e-06
BOOMER/TABITHA SMITH	HELA [ASGARDIAN]	8.120137645516962e-08	9.297319435456067e-06
CANNONBALL II/SAM GUTHRIE 	MOREAU, DAVID	8.130081981191589e-08	9.297795220699172e-06
ANAK	LORELEI II/MELODI [ASGARDIAN]	8.136653896232147e-08	9.298271005942273e-06
ETERNITY/ADAM QADMON	ONE ABOVE ALL [CELESTIAL]	8.136653896232147e-08	9.298746791185374e-06
ETERNITY/ADAM QADMON	THANOS DOPPELGANGER	8.136653896232147e-08	9.299222576428476e-06
MAGNUS	SHROUD/MAXIMILLIAN QUINCY COLERIDGE	8.155576622859192e-08	9.299698361671579e-06
JOSEPH	MAGNETO/MAGNUS/ERIC LENSHERR	8.174390477277204e-08	9.30017414691468e-06
COY, GENERAL NGUYEN NGOC	SPIDER-WOMAN/JESSICA DREW	8.178106053221418e-08	9.300649932157783e-06
GYRICH, HENRY PETER	JOLT/HALLIE TAKAHAMA/HALLIE SHIMOSATO 	8.189637063932411e-08	9.301125717400885e-06
APOCALYPSE/EN SABAH NUR	ONSLAUGHT II	8.203378061379512e-08	9.301601502643986e-06
JONES, RICHARD MILHOUSE RICK	SCARLET WITCH/WANDA MAXIMOFF	8.243335360091369e-08	9.302077287887087e-06
APE MAN/GORDON MONK KEEFER	NELSON, FRANKLIN FOGGY	8.244748117913302e-08	9.30255307313019e-06
BOONE	WATSON-PARKER, MARY JANE	8.261744370093781e-08	9.303028858373292e-06
MEDEA	WATSON-PARKER, MARY JANE	8.261744370093781e-08	9.303504643616393e-06
PHOENIX III/RACHEL SUMMERS	ROSS, COURTNEY	8.265603729094388e-08	9.303980428859496e-06
MIMIC/CALVIN RANKIN	SHADOWCAT/KATHERINE KITTY PRYDE 	8.285998459325115e-08	9.304456214102599e-06
SHADOWCAT/KATHERINE KITTY PRYDE 	WOLVERINE SKRULL	8.285998459325115e-08	9.3049319993457e-06
FALCON/SAM WILSON	GARCIA, REV.	8.290537503548301e-08	9.305407784588802e-06
FALCON/SAM WILSON	MULDOON, TEXAS JACK	8.290537503548301e-08	9.305883569831905e-06
DAMIAN, MARGO	GAMMENON [CELESTIAL]	8.303713092457181e-08	9.306359355075006e-06
ASTROVIK, NORMA	SPEEDBALL/ROBBIE BALDWIN	8.321888393176988e-08	9.306835140318109e-06
NORTHSTAR/JEAN-PAUL BAUBIER	STRONG GUY/GUIDO CAROSELLA	8.330721215878987e-08	9.30731092556121e-06
LUNA/LUNA MAXIMOFF [INHUMAN]	WASP/JANET VAN DYNE PYM	8.375904334734783e-08	9.307786710804312e-06
ANGEL/WARREN KENNETH WORTHINGTON III 	DAZZLER II/ALLISON BLAIRE	8.398655661973936e-08	9.308262496047415e-06
DIAMONDBACK II/RACHEL LEIGHTON	SLEEPER	8.403434062065456e-08	9.308738281290516e-06
DIAMONDBACK II/RACHEL LEIGHTON	IMPALA/	8.403434062065456e-08	9.309214066533619e-06
KAINE	ROBERTSON, JOE	8.409345207547771e-08	9.309689851776721e-06
BEAST/HENRY &HANK& P. MCCOY 	HARDRIVE	8.410787010604349e-08	9.310165637019822e-06
KAFKA, DR. ASHLEY	OSBORN, LIZ ALLAN	8.413511738812777e-08	9.310641422262923e-06
FORGE	ROMA	8.418654417358921e-08	9.311117207506028e-06
VULTURE/ADRIAN TOOMES	WATSON, ANNA	8.421003515319154e-08	9.311592992749129e-06
BINARY/CAROL DANVERS	CAPTAIN MARVEL II/MONICA RAMBEAU	8.422842633392317e-08	9.31206877799223e-06
ANT-MAN/DR. HENRY J. PYM	FORGOTTEN ONE/GILGAMESH [ETERNAL]	8.426854086162596e-08	9.312544563235332e-06
DARE, KATHLEEN	WHIPLASH/MARK SCARLOTTI/MARK SCOTT	8.439155968751648e-08	9.313020348478435e-06
GYPSY MOTH	PALADIN/PAUL DENNIS	8.439155968751648e-08	9.313496133721536e-06
LOOTER/NORTON G. FESTER	WADE, AGENT JOE	8.442463533658338e-08	9.313971918964637e-06
PURPLE MAN/ZEBEDIAH KILLGRAVE	ROUST	8.442463533658338e-08	9.314447704207741e-06
MIDAS	STARK, MORGAN	8.442463533658338e-08	9.314923489450842e-06
BOMBSHELL/	HALE, JONAS	8.442463533658338e-08	9.315399274693943e-06
HEIMDALL [ASGARDIAN]	RUIZ, RIGGER	8.442476278743076e-08	9.315875059937046e-06
JACKSON, ANDREW JOCK	LOKI [ASGARDIAN]	8.452323922858103e-08	9.316350845180148e-06
FIELSTEIN, FIREWORKS	LOKI [ASGARDIAN]	8.452323922858103e-08	9.31682663042325e-06
ANAK	BALDER [ASGARDIAN]	8.452323922858103e-08	9.317302415666352e-06
HAUPTMANN ENGLAND	LOCKHEED	8.463558504050355e-08	9.317778200909455e-06
DOCKERY, RUPERT	SPIDER-WOMAN/JESSICA DREW	8.463558504050355e-08	9.318253986152556e-06
BLACK KNIGHT IV/PROFESSOR NATHAN GARRETT	EXECUTIONER II/SKURGE [ASGARDIAN]	8.492655142444492e-08	9.318729771395658e-06
BRIGHTWIND	FIREFIST/RUSTY COLLINS	8.506569423082013e-08	9.319205556638761e-06
SHOCKER/HERMAN SCHULTZ	STACY, JILL	8.506569423082013e-08	9.319681341881862e-06
LORELEI	UNUS THE UNTOUCHABLE	8.50874926142332e-08	9.320157127124965e-06
SONDHEIM, ERICA	SPYMASTER II	8.50874926142332e-08	9.320632912368066e-06
PROCTOR	SWORDSMAN III/PHILIP JARVERT	8.50874926142332e-08	9.321108697611168e-06
DYNA-MITE/ROGER AUBREY	SCREAM	8.50874926142332e-08	9.321584482854271e-06
JAMESON, J. JONAH	LOBO, EDUARDO	8.536029604060113e-08	9.322060268097372e-06
ASYLUM II/HENRIQUE MANUEL GALLANTE	RAGE/ELVIN DARYL HALLIDAY	8.55245618910896e-08	9.322536053340475e-06
STRONGARM/	WILD CHILD/KYLE GIBNEY	8.55245618910896e-08	9.323011838583577e-06
TECH-NOIR/	WILD CHILD/KYLE GIBNEY	8.55245618910896e-08	9.323487623826678e-06
RAGE/ELVIN DARYL HALLIDAY	VOLX	8.55245618910896e-08	9.323963409069779e-06
PUCK DOPPELGANGER II	WILD CHILD/KYLE GIBNEY	8.55245618910896e-08	9.324439194312884e-06
DAYTRIPPER/AMANDA SEFTON	GRAVEMOSS	8.55245618910896e-08	9.324914979555984e-06
SINEW/	WILD CHILD/KYLE GIBNEY	8.55245618910896e-08	9.325390764799085e-06
DAYTRIPPER/AMANDA SEFTON	VITCHEN	8.55245618910896e-08	9.325866550042188e-06
DAYTRIPPER/AMANDA SEFTON	SHRILL/	8.55245618910896e-08	9.32634233528529e-06
POWER, DR. JIM	YRIK	8.55245618910896e-08	9.326818120528392e-06
MISS MASS/	WILD CHILD/KYLE GIBNEY	8.55245618910896e-08	9.327293905771493e-06
BILE/	WILD CHILD/KYLE GIBNEY	8.55245618910896e-08	9.327769691014597e-06
PARTRIDGE, STEVE	RHINO	8.55245618910896e-08	9.328245476257698e-06
DAYTRIPPER/AMANDA SEFTON	NUGENT	8.55245618910896e-08	9.328721261500799e-06
GALACTUS/GALAN	RUNNER	8.579612966644568e-08	9.329197046743902e-06
GOSAMYR	WHITE QUEEN/EMMA FROST	8.579612966644568e-08	9.329672831987004e-06
BANSHEE/SEAN CASSIDY	M-PLATE	8.596861246924348e-08	9.330148617230105e-06
BANSHEE/SEAN CASSIDY	WARPY	8.596861246924348e-08	9.330624402473208e-06
BANSHEE/SEAN CASSIDY	COFFIN, WARDEN JOHNSTON	8.596861246924348e-08	9.33110018771631e-06
BANSHEE/SEAN CASSIDY	TOKEN	8.596861246924348e-08	9.331575972959412e-06
BANSHEE/SEAN CASSIDY	SPIKEY	8.596861246924348e-08	9.332051758202514e-06
BANSHEE/SEAN CASSIDY	BLURRY	8.596861246924348e-08	9.332527543445617e-06
BANSHEE/SEAN CASSIDY	WINDY	8.596861246924348e-08	9.333003328688718e-06
BANSHEE/SEAN CASSIDY	ELWOOD	8.596861246924348e-08	9.33347911393182e-06
BANSHEE/SEAN CASSIDY	BRAINY	8.596861246924348e-08	9.333954899174922e-06
BANSHEE/SEAN CASSIDY	STINKY	8.596861246924348e-08	9.334430684418024e-06
BANSHEE/SEAN CASSIDY	GREASY	8.596861246924348e-08	9.334906469661127e-06
BANSHEE/SEAN CASSIDY	LANIEGE, BIANCA	8.596861246924348e-08	9.335382254904228e-06
BANSHEE/SEAN CASSIDY	WILFORD, BONNIE	8.596861246924348e-08	9.33585804014733e-06
RINTRAH	SATANNISH	8.597106234090529e-08	9.336333825390433e-06
INTERLOPER	RINTRAH	8.597106234090529e-08	9.336809610633534e-06
CH'OD	SAMEDAR	8.597559001626535e-08	9.337285395876635e-06
MAM'SELLE HEPZIBAH	SAMEDAR	8.597559001626535e-08	9.337761181119738e-06
RAZA LONGKNIFE	SAMEDAR	8.597559001626535e-08	9.33823696636284e-06
HELLSTORM/DAIMON HELLSTROM	WILLIAMS, MINDY	8.615856777968245e-08	9.338712751605941e-06
HELLSTORM/DAIMON HELLSTROM	MASTERS, DR. AUGUST	8.615856777968245e-08	9.339188536849044e-06
HELLSTORM/DAIMON HELLSTROM	LITTLETREE, LINDA	8.615856777968245e-08	9.339664322092147e-06
STACY, GWEN	WILSON, LOUIS	8.615856777968245e-08	9.340140107335248e-06
LARGO, CHIEF	LEADER/SAM STERNS	8.623167087942437e-08	9.340615892578349e-06
IRON FIST/DANIEL RAND	TYGER, LORD	8.654388283879026e-08	9.341091677821453e-06
GOLDDIGGER	VERTIGO II	8.659438186085047e-08	9.341567463064554e-06
AIREO/AEOLUS [INHUMAN]	FIREWALL/THEARY/MIN LI NG	8.659438186085047e-08	9.342043248307655e-06
CARINA/CARINA WALTERS KORVAC	TWO-GUN KID	8.659438186085047e-08	9.342519033550758e-06
DEATHWATCH/STEPHAN LORDS	DOLAN, CAPT. THOMAS	8.659438186085047e-08	9.34299481879386e-06
STELLARIS/LEAH PRINCESS	ZON	8.659438186085047e-08	9.343470604036961e-06
VERTIGO II	WHIPLASH II/	8.659438186085047e-08	9.343946389280064e-06
DEATHWATCH/STEPHAN LORDS	WEI, LINDA	8.659438186085047e-08	9.344422174523167e-06
IMPALA/	VERTIGO II	8.659438186085047e-08	9.344897959766268e-06
LOCKHEED	PSYLOCKE/ELISABETH BETSY BRADDOCK 	8.664410597046988e-08	9.34537374500937e-06
CRIMSON DYNAMO V/DIMITRI BUKHARIN	JACK OF HEARTS/JACK HART	8.669284020030615e-08	9.345849530252471e-06
HERCULES [GREEK GOD]	NOVA II/FRANKIE RAYE	8.681608427161103e-08	9.346325315495574e-06
ANT-MAN/DR. HENRY J. PYM	MR. FANTASTIC DOPPELGANGER	8.685222665498263e-08	9.346801100738676e-06
DR. SPECTRUM/JOSEPH LEDGER	MAD DOG/COLONEL BUZZ BAXTER	8.712155896482585e-08	9.347276885981777e-06
BALLANTINE, KAYLA	DR. SPECTRUM/JOSEPH LEDGER	8.712155896482585e-08	9.34775267122488e-06
GOLDEN ARCHER II/WYATT MCDONALD	MOONDRAGON/HEATHER DOUGLAS	8.715830746588607e-08	9.348228456467983e-06
HIGH EVOLUTIONARY/HERBERT EDGAR WYNDHAM	STELLARIS/LEAH PRINCESS	8.738500417935035e-08	9.348704241711084e-06
CAPRICORN/WILLARD WEIR	MANTIS/? BRANDT	8.754049366570797e-08	9.349180026954186e-06
MR. FEAR III/PROF. LAWRENCE LARRY CRANSTON	PETROVITCH, IVAN	8.754049366570797e-08	9.349655812197287e-06
KLINE, MR.	PETROVITCH, IVAN	8.754049366570797e-08	9.35013159744039e-06
FOOL	UATU	8.76745968825177e-08	9.350607382683491e-06
HATE	UATU	8.76745968825177e-08	9.351083167926594e-06
THANE ECTOR	UATU	8.76745968825177e-08	9.351558953169696e-06
SYBYL DORN	UATU	8.76745968825177e-08	9.352034738412797e-06
LOVE	UATU	8.76745968825177e-08	9.3525105236559e-06
JOLT/HALLIE TAKAHAMA/HALLIE SHIMOSATO 	MR. IMMORTAL	8.791894704886122e-08	9.352986308899003e-06
DINAH-SOAR	JOLT/HALLIE TAKAHAMA/HALLIE SHIMOSATO 	8.791894704886122e-08	9.353462094142104e-06
